N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
378.314,330.556,467.559,157.819,224.265,122.349,327.798,468.762,197.922,1269.32,1055.44,389.094,1332.1,369.666,190.244,97.6402,193.203,108.009,147.892,172.738,54.4711,142.412,155.028,91.8285,46.049,70.4233,34.481,43.8512,213.991,104.786,132.616,185.541,530.071,208.415,187.452,451.59,398.27,226.492,131.181,483.778,339.274,139.989,88.1847,127.758,403.087,204.434,321.897,111.85,248.057,338.915,174.552,544.87,95.5294,178.327,122.074,308.057,111.246,116.865,193.413,260.238,156.929,230.415,84.0611,397.969,294.322,129.952,277.385,385.324,1047.51,404.524,209.535
547.276,251.207,295.59,126.827,317.229,98.7542,333.332,377.278,167.859,879.123,626.995,287.822,742.92,301.816,120.208,28.7335,106.919,71.6263,150.294,134.42,55.431,151.932,124.834,89.3527,47.3421,64.1456,32.4745,30.4147,197.561,91.9361,95.8827,161.677,416.506,163.293,155.724,304.647,269.944,188.892,78.6182,296.899,283.448,126.711,68.7427,108.339,393.369,155.386,299.269,80.1049,207.991,302.982,138.55,525.818,86.8692,164.882,146.319,386.046,171.19,159.817,277.305,341.712,198.57,260.861,85.8904,442.238,243.553,86.164,355.063,397.462,160.933,450.646,178.09
522.027,466.905,417.519,166.392,274.389,109.978,234.551,451.24,122.478,1060.82,361.563,163.309,903.437,227.962,42.2167,68.5531,106.449,78.4832,169.841,178.559,85.9705,168.251,174.364,119.786,42.616,78.5895,38.4268,35.6715,180.519,84.593,110.168,130.705,402.298,141.917,126.85,341.963,250.982,218.003,117.586,387.145,306.586,154.657,58.8813,100.801,320.129,159.213,229.138,102.067,180.139,383.095,278.009,869.173,134.443,216.219,166.771,463.812,139.665,120.917,177.511,283.729,187.973,260.04,85.4625,484.675,189.237,101.71,290.602,488.448,61.0441,99.6195,178.26
274.006,295.572,484.665,71.2095,217.511,122.258,251.524,484.001,129.231,938.463,415.626,191.635,981.381,214.542,67.4394,96.4422,133.008,60.1684,143.412,218.253,82.8806,162.289,188.298,112.797,53.4143,65.6012,36.8566,31.1176,186.023,87.8865,88.0895,126.589,412.494,160.56,152.714,363.203,335.635,260.084,106.149,346.318,356.708,138.172,62.9936,130.462,346.396,191.379,234.706,99.3763,219.223,317.026,241.39,606.979,94.7239,188.632,117.53,406.199,132.588,166.755,198.72,291.707,185.009,251.149,85.7761,482.305,247.11,135.708,297.165,534.653,140.104,42.8368,178.279
265.497,272.225,527.464,172.108,271.892,226.124,226.221,607.467,167.251,950.922,434.947,412.607,1043.42,213.994,88.4722,61.029,164.168,62.305,213.916,240.095,99.0289,229.238,205.788,155.478,62.7842,84.3309,43.8872,43.6693,197.129,110.411,101.413,151.568,509.528,177.647,200.13,506.463,347.225,323.163,111.357,554.726,416.837,160.139,71.181,131.053,434.375,185.709,222.349,83.8891,137.865,244.375,145.128,370.263,65.6618,150.879,103.641,329.28,131.943,117.879,202.87,273.733,124.321,199.862,67.3502,346.883,181.641,85.0149,281.573,483.599,44.6544,82.1862,183.947
298.516,309.215,492.113,118.422,280.788,207.2,319.992,432.756,132.173,1206.14,677.648,338.31,937.949,221.258,110.195,40.9656,120.195,108.915,286.996,361.644,130.157,279.77,272.448,178.813,79.4956,95.0659,47.2782,37.856,287.903,119.237,154.025,196.351,594.564,267.009,212.749,504.487,519.869,255.632,141.738,450.887,429.264,181.643,79.8811,143.045,429.601,190.837,339.817,89.0213,204.544,263.077,180.929,406.91,71.145,156.267,117.072,281.342,148.156,134.502,254.229,261.865,167.286,195.78,81.4021,367.829,169.25,97.1654,461.476,405.312,124.483,824.549,212.98
586.135,233.955,754.003,125.672,252.141,126.543,248.702,516.586,148.287,1055.14,359.539,267.362,850.081,122.756,84.4052,79.1794,167.409,117.146,239.976,269.969,106.184,302.215,268.955,154.344,69.1888,93.5599,55.4082,43.6753,210.925,103.063,97.072,142.593,403.486,123.972,144.701,340.348,314.187,220.972,111.462,449.275,493.569,170.802,83.2615,144.03,489.496,241.509,319.823,85.225,202.177,303.043,194.952,446.283,92.8847,174.803,121.727,280.521,167.701,140.758,207.871,242.062,123.232,246.75,86.51,417.985,202.703,120.388,316.34,629.615,135.786,544.549,200.722
276.974,298.374,777.828,119.517,295.095,187.111,274.41,588.986,167.49,1110.86,761.554,358.456,951.929,349.914,110.248,89.7296,201.164,154.234,286.002,309.416,115.569,375.041,329.007,173.991,100.091,118.037,71.494,59.7743,288.972,111.346,131.158,156.677,516.532,155.937,118.102,384.374,322.741,191.772,130.429,463.786,467.329,185.79,67.2853,152.53,578.917,298.847,394.717,129.636,198.181,345.376,205.24,508.358,95.5382,156.771,137.004,316.616,131.663,124.907,161.858,250.919,159.871,206.97,90.5876,488.353,223.934,151.175,524.633,233.483,616.26,132.871,225.612
193.37,239.15,518.75,181.339,244.626,134.928,247.757,520.526,211.808,1285.53,512.653,350.128,872.706,162.544,90.4864,172.052,140.366,177.028,223.166,269.457,109.705,280.863,281.94,204.287,87.0776,106.29,81.437,72.534,316.906,169.312,165.472,194.332,618.156,186.58,172.4,483.947,299.039,208.233,112.239,471.292,480.09,212.385,71.8829,148.611,523.864,259.359,340.217,99.785,226.23,301.066,175.037,505.889,67.0397,139.148,159.057,392.643,166.058,157.138,240.157,346.499,169.963,238.695,71.0957,345.02,163.08,77.3085,340.06,321.377,365.571,127.758,217.545
373.511,237.785,498.345,150.359,222.61,133.812,268.882,644.779,228.061,1131.77,615.405,302.704,1553.66,287.827,114.303,229.859,227.488,74.5536,232.835,206.778,102.682,240.257,222.468,150.129,69.6213,116.335,60.7046,63.6209,354.589,198.604,163.207,270.606,624.048,285.34,187.964,568.312,484.932,286.019,254.86,864.962,636.204,274.982,121.687,168.702,562.002,204.302,332.705,87.6956,242.043,319.233,243.806,617.601,90.4881,159.452,133.382,336.834,114.581,97.6134,162.325,219.798,133.866,210.413,95.2107,473.191,233.297,110.686,284.685,193.302,1939.88,1090.49,243.887
