N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
1541.27,1843.18,2234.83,1377.12,1064.35,571.952,774.926,1025.41,883.558,565.119,1670.46,1451.28,1864.42,1224.12,757.885,662.171,2055.44,144.484,1036.39,895.197,565.433,608.803,649.486,1029.47,678.381,1368.76,1183.35,573.999,988.705,714.839,785.577,462.898,321.997,635.746,1152.44,670.874,1728.4,654.568,1642.22,899.541,2168.64,1534.87,2041.42,841.639,1665.52,2443.91,2300.39,1094.78,1897.76,1757.51,2235.49,2368.74,1176.38,1405.84,1075.42,1778.96,491.768,1742.72,456.048,2477.91,1677.11,829.051,1693.37,1615.66,1309.3,1144.27,1079.7,1471.51,3993.63,654.042,1106.95
871.917,953.893,1618.33,1092.57,912.721,488.693,594.562,1365.12,903.294,679.896,1494.98,1545.07,2257.21,1046.51,668.475,514.479,2251.47,195.002,1257.71,1111.96,803.479,684.148,869.676,1270.78,731.958,1444.4,1045.3,546.795,912.075,670.278,605.004,514.781,391.618,739.883,1346.12,785.304,2157.4,637.099,1727.82,942.101,2337.33,1752.26,2586.08,1183.56,2128.28,3291.98,3158.79,1491.55,2041.61,2032.71,1965.64,1795.16,1031.28,955.433,857.942,1323.13,383.429,1518.87,305.038,2073.28,1460.23,832.737,1730.75,1571.21,1295.16,1452.14,1353.44,1700.89,3839.61,988.706,1116.57
1194.22,1584.94,1696.38,1487.87,693.646,559.849,634.457,1044.88,895.766,571.593,1259.99,1419.99,1857.37,693.542,669.346,896.81,803.909,191.221,652.97,844.767,516.532,625.845,719.396,885.031,705.835,1179.45,882.354,623.459,959.415,698.337,769.386,531.314,459.553,853.235,1496.93,918.273,2172.1,617.477,1511.93,1028.95,2164.93,1509.02,1780.66,824.843,1737.16,2404.91,2361.08,1381.23,1812.8,2123.38,2466.81,2524.55,1222.67,1370.72,1181.27,2070.17,477.57,1802.08,399.531,2140.15,1309.59,749.283,1326.3,1606.78,1382.28,1214.78,1440.82,1704.97,4720.73,1589.34,1100.23
1502.08,1737.87,1734.7,1268.45,673.868,562.743,523.781,1027.12,856.853,417.806,1166.42,992.33,1346.54,924.116,604.892,807.081,219.119,472.837,638.147,872.309,718.753,627.932,873.996,985.943,665.556,1089.53,864.712,509.372,710.559,570.31,596.562,501.701,422.723,595.836,1575,811.863,2104.09,642.168,1729.87,855.177,2100.15,1248.38,1582.15,639.799,1133.43,1936.69,2242.89,964.412,1590.98,1756.65,2724.18,2631.48,1503.09,1682.92,1137.96,2196.28,496.578,1968.84,395.289,2549.54,1739.92,953.521,1817.89,1679.06,1527.95,1296.36,1311.42,1356.39,3702.35,640.06,1031.52
1139.68,1322.65,2229.33,1132.59,790.998,561.008,644.064,1246.73,993.096,526.39,1213.1,1615.63,1292.99,978.402,589.861,1240.5,287.059,320.489,807.107,1096.02,739.155,766.634,764,1077.76,597.435,945.87,774.291,405.258,587.195,592.394,482.675,429.297,454.024,818.508,1808.31,932.324,2708.57,858.982,2241.26,1092.2,2161.72,1252.99,1629.67,755.332,1347.52,2027.4,2402.43,1064.18,1873.18,2103.44,2646.32,2867,1683.88,1498.71,1196.83,2291.19,539.471,1705.33,321.87,2124.08,1290.64,662.035,1263.66,1504.73,1289.69,1239.99,1332.09,1288.45,4839.6,571.331,1063.41
1252.36,1158.34,1601.17,1337.01,831.267,521.417,736.453,1008.86,1271.66,928.951,1349.17,1893.2,1965.07,1191.92,685.21,1164.88,1316.47,296.161,1090.24,1110.84,779.668,765.844,868.144,1180.49,709.244,1200.36,1156.44,526.652,819.844,775.828,729.875,553.768,557.001,850.677,1711.42,1059.73,2196.85,638.274,1686.58,858.707,1993.02,1163.93,1303.12,646.506,1311.38,1786.89,2138.18,943.957,1497.6,1840.95,2194.05,2335.71,1449.94,1253.49,1165.33,1735.19,599.682,1993.08,392.331,2994.8,1890.23,975.086,1923.37,2091.66,1657.62,1290.83,1230.71,1466.98,4020.88,450.225,1145.81
1640.36,1434.77,2093.7,1376.51,1050.92,611.145,672.448,1432.65,1168.89,650.757,1360.71,1243.18,2086.6,765.382,739.823,530.787,1051.34,272.131,821.233,663.163,636.524,594.766,682.051,910.714,697.555,908.992,724.477,373.671,642.47,512.858,478.017,361.131,356.378,623.592,1121.91,630.259,1506.31,497.601,1229.09,720.842,1930.02,1215.43,1811.28,860.568,1835.62,2683.75,2651.36,1333.68,1834.9,2066.05,1956.69,1778.66,1089.93,757.913,838.565,1329.9,450.231,1664.92,351.777,2499.95,1503.11,1043.35,1975.08,2014.84,1507.63,1342.86,1373.28,1685.69,3863.5,1031.17,1030.31
1353,1263.88,1767.44,1331.35,795.94,583.811,542.601,913.523,773.454,722.69,1053.67,1131.38,1897.38,1013.04,817.407,888.859,1585.85,520.439,1107,833.673,619.696,556.197,618.71,809.804,548.539,1010.25,813.768,473.161,848.402,538.833,512.842,475.851,319.601,586.413,1121.59,698.55,1587.08,573.47,1371.21,833.378,1905.71,1264.74,1791.65,819.409,1568.82,2753.99,2900.57,1353.27,2000.45,2518.17,2614.28,2664.11,1553.74,1466.17,998.13,1728.38,441.946,1451,306.243,2177.39,1265.31,819.323,1337.21,1621.19,1353.46,1243.65,1447.78,1298.72,4722.28,794.601,1055.25
1169.23,1253.16,1940.91,1236.2,731.894,579.389,576.623,970.728,987.159,706.646,1219.57,1311.01,1983.98,816.264,594.82,1275.48,888.774,290.023,1068.88,900.556,853.999,703.945,744.098,955.545,604.836,1089.97,817.274,375.505,642.767,529.897,541.246,424.763,373.177,672.974,1337.13,750.568,1783.04,587.248,1504.53,938.519,2013.97,1416.45,1771.12,871.651,1572.06,2440.08,2751.8,1206.14,1934.8,2538.63,2467.3,2602.19,1426.9,1327.4,1069.31,1663.14,426.654,1362.81,299.854,2141.33,1324.65,879.105,1646.04,1866.22,1434.77,1273.26,1225.47,1045.62,4611.84,827.575,1055.95
1043.45,799.754,1313.42,1320.93,673.918,366.93,471.242,989.866,854.403,515.746,1088.2,1170.13,1502.79,763.538,543.95,831.482,891.616,282.659,687.877,727.286,566.685,523.474,512.13,836.826,524.086,984.501,778.699,405.291,634.874,493.848,492.161,351.929,297.342,519.323,1037.22,628.241,1510.7,616.535,1906.9,893.796,2148.88,1344.74,1988.43,818.607,1552.52,2148.21,2188.4,1124.34,1698.32,1802.3,2040.07,2267.13,1383.42,1309.79,1282.08,1972.08,586.002,2229.23,445.723,2292.77,1440.68,902.956,1505.54,1317.49,1094.81,931.116,1062.4,1159.05,3916.65,659.604,950.759
