region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr
PRD,HS30-60_HR10,39.9867,52.544,0.761013627,3.99867,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,44.8727,98.6487,0.454873708,2.316533819,0.051624569,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,45.2679,42.4236,1.06704523,4.52679,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,61.9409,58.1766,1.064704709,6.19409,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,53.4563,63.7983,0.837895367,5.34563,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,31.0399,66.9697,0.463491698,1.691588657,0.054497233,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,52.6996,69.4225,0.75911412,5.26996,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,29.24,59.8749,0.488351546,1.835799738,0.062783849,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,44.3677,75.3558,0.588776179,4.270778294,0.096258726,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,18.7383,49.1184,0.381492475,0.50901015,0.027164158,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,18.445,60.4256,0.305251417,0.03228746,0.001750472,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.059,58.4207,0.56587819,2.929889033,0.088626063,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,31.2192,50.0464,0.623805109,3.12192,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,54.2477,82.6267,0.656539593,5.42477,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.9521,71.6685,0.459784982,1.755083571,0.053261661,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,41.5043,50.6884,0.818812588,4.15043,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,55.9082,56.455,0.99031441,5.59082,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,29.0983,67.1817,0.433128367,1.291269719,0.044376122,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,23.5547,54.3655,0.433265582,1.046343602,0.044421861,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,34.7507,69.6781,0.498732026,2.302025675,0.066244009,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,37.1982,50.0074,0.74385391,3.71982,0.1,,,,,,,,,,,,,,,,
