N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
627.853,461.283,624.208,203.159,487.441,463.906,396.212,697.254,637.933,377.715,860.195,263.995,469.731,255.155,105.617,359.502,325.138,42.5269,440.258,1052.47,592.459,669.035,886.54,1249.92,538.192,343.564,525.158,178.894,386.301,337.708,199.221,116.873,289.273,713.579,885.815,379.196,1619.4,391.311,426.756,281.248,669.859,530.063,431.968,223.386,276.976,1610.5,492.6,259.01,327.698,442.298,576.516,539.581,175.502,230.689,126.509,167.852,131.486,182.896,126.233,366.921,116.736,119.567,265.412,208.083,876.016,123.221,138.984,428.601,258.772,170.883,348.329
473.38,657.318,1176.8,402.105,571.581,635.568,537.861,846.195,608.137,249.988,839.239,246.244,643.167,272.7,123.76,290.107,865.49,138.991,635.226,816.62,625.982,645.889,832.644,1062.59,398.452,267.132,572.27,175.745,512.883,432.862,256.904,216.966,370.403,802.185,854.399,315.394,1447.51,257.636,280.581,177.631,535.497,317.038,296.115,160.533,354.394,1426.07,596.995,348.387,468.626,557.799,658.766,599.644,206.951,205.59,121.329,181.783,159.232,173.015,116.244,358.484,95.3882,104.516,293.005,232.715,821.434,143.343,167.177,424.297,367.548,114.949,369.18
204.416,338.436,563.606,227.346,433.049,487.48,390.839,1054.61,624.51,489.121,1066.04,393.951,498.954,212.968,118.291,128.302,753.077,93.067,406.699,738.454,601.21,705.98,945.039,1133.27,479.871,359.247,533.072,206.953,590.976,371.329,251.596,216.39,293.842,786.651,984.495,384.298,1770.35,358.479,356.043,265.213,828.38,500.825,333.575,203.06,390.195,1418.37,550.396,279.422,316.848,369.98,511.55,407.812,206.935,196.44,201.628,294.314,195.106,243.411,185.937,497.551,108.63,95.138,208.881,161.239,537.29,85.8283,108.328,361.937,316.928,391.908,360.531
272.603,523.974,634.058,484.872,734.267,702.434,610.527,1044.27,756.43,356.2,1042.85,404.402,719.999,198.938,111.947,185.463,885.091,78.6311,466.839,825.943,660.852,616.81,764.215,992.309,439.628,284.958,424.347,151.708,404.295,334.189,232.744,201.282,432.226,998.143,1196.41,499.813,3038.93,535.953,570.619,305.015,943.563,581.27,374.472,217.32,258.716,982.405,348.164,260.598,235.205,482.023,545.083,554.795,286.723,329.783,301.631,392.304,193.546,313.304,184.771,449.892,104.274,94.3946,218.642,197.085,584.467,94.9658,130.561,441.722,391.199,575.56,398.167
540.283,362.019,513.82,315.753,498.414,671.125,497.239,824.202,527.359,381.151,661.759,339.562,660.513,276.056,99.4607,462.619,481.341,87.9726,638.42,817.095,709.439,632.623,677.751,1004.84,398.762,306.479,534.442,203.266,481.522,348.046,305.676,244.909,455.452,1045.76,1137.06,394.589,1820.04,366.376,396.463,248.243,523.968,337.815,256.45,162.253,201.999,976.684,380.323,214.277,181.878,326.852,463.635,385.077,195.994,170.646,183.771,281.017,120.224,294.245,207.107,528.482,175.955,183.034,515.332,352.76,1051.66,137.436,143.561,393.841,331.554,575.024,375.814
499.637,243.791,695.396,351.148,308.738,421.246,358.651,901.971,606.214,463.544,656.157,404.39,564.259,288.122,201.473,86.2064,569.945,68.6312,309.797,470.248,495.219,578.184,560.906,1028.56,349.537,325.647,605.553,213.209,485.863,379.672,245.983,184.319,326.334,797.584,813.419,371.402,1575.95,320.588,361.36,219.472,559.955,356.235,274.126,148.315,228.658,1217.46,364.488,200.219,255.514,340.431,492.958,399.077,196.341,218.068,143.476,253.71,106.676,235.878,130.485,497.968,153.192,143.345,374.942,249.512,671.356,95.4119,121.811,260.752,264.682,937.405,335.975
446.722,442.147,1092.36,453.89,414.557,586.719,555.386,726.049,975.281,391.39,776.318,418.565,786.516,278.475,123.558,269.185,452.069,74.064,324.529,570.617,424.173,456.117,532.236,703.441,299.829,186.109,403.055,107.945,291.607,292.722,205.094,169.084,355.297,856.693,1113.87,368.116,1791.97,337.548,337.68,203.111,512.484,299.72,291.431,111.977,175.846,958.512,372.118,202.026,240.242,302.006,361.816,392.38,160.697,215.273,193.432,363.044,215.255,394.982,228.148,529.675,117.471,110.068,275.916,203.829,583.284,119.306,121.754,361.722,437.609,728.632,340.158
299.808,426.074,980.697,332.708,443.498,660.738,487.382,742.799,821.325,382.706,855.17,554.264,744.989,405.871,104.404,258.289,582.464,105.533,353.838,578.513,424.362,438.196,649.082,801.287,451.043,405.686,728.894,218.356,648.855,432.487,252.037,212.211,339.341,850.592,989.98,326.666,1514.63,304.32,357.499,258.336,581.381,328.547,302.944,147.037,195.305,938.275,356.063,216.566,300.556,465.857,688.229,698.114,260.474,231.52,126.779,257.783,95.8329,148.046,103.571,336.275,97.4057,100.213,305.373,269.2,973.668,122.231,161.783,493.68,323.638,507.567,362.092
436.557,599.512,920.184,291.636,512.433,606.601,426.495,701.517,640.852,297.612,767.288,346.476,577.568,356.5,131.421,447.472,249.93,125.941,403.381,750.859,495.247,599.777,625.14,914.464,343.734,263.86,457.39,161.558,418.141,337.709,220.912,202.682,259.757,831.046,986.795,370.905,1365.5,259.415,312.412,190.747,567.426,342.752,309.267,159.724,236.112,1318.13,444.258,249.408,366.163,393.862,537.784,388.947,162.351,235.988,164.551,266.538,148.64,306.311,175.264,453.642,147.721,150.371,393.941,272.501,917.815,118.886,138.52,325.274,283.175,395.459,354.246
636.993,540.03,1049.18,456.504,518.412,717.541,445.635,663.178,533.351,407.876,751.83,302.108,784.194,268.676,142.795,419.362,1000.82,152.183,407.447,779.863,641.308,572.119,826.489,955.978,471.954,376.41,578.781,249.979,518.119,536.654,275.81,288.429,451.618,991.349,979.616,306.367,1408.42,201.04,253.278,158.614,348.023,229.108,237.835,110.066,192.879,869.824,424.13,230.572,296.519,460.775,673.506,642.254,283.816,295.448,232.797,365.872,163.895,262.274,207.284,405.523,110.487,123.151,283.536,253.189,835.063,158.818,146.053,470.108,223.3,508.389,381.599
957.663,577.096,984.537,439.966,378.546,555.735,318.919,825.973,578.987,532.85,671.627,476.908,731.725,554.909,127.218,541.987,389.77,152.233,440.888,536.271,519.292,536.605,628.514,826.664,416.704,273.06,587.61,186.347,565.869,411.749,299.764,317.122,432.114,1012.91,1073.19,355.558,1353.95,338.234,351.899,209.619,528.558,311.415,253.59,112.018,162.697,1035.19,337.158,283.776,247.259,462.109,682.066,610.139,219.513,323.962,255.776,412.685,180.281,310.135,172.331,487.344,117.225,166.472,306.536,236.533,815.975,128.499,103.318,382.518,228.016,725.079,386.156
1081.15,887.932,888.43,354.508,447.247,626.657,387.199,1018.43,596.555,439.336,733.726,506.999,876.131,420.654,161.551,752.713,196.782,151.831,298.991,415.946,399.623,419.134,609.253,708.191,378.63,263.445,432.459,200.699,408.051,335.265,260.032,200.275,396.026,1034.19,1343.36,390.724,1661.03,350.486,462.474,233.321,540.922,361.854,310.175,136.214,172.524,911.185,277.954,193.217,273.343,467.282,489.298,561.559,214.129,302.674,270.909,453.767,195.3,485.445,268.43,516.983,144.145,162.874,246.376,157.297,594.697,105.781,108.273,322.488,277.446,525.223,376.646
843.992,1124.68,979.832,424.901,542.981,872.739,427.326,920.169,732.523,421.461,928.647,325.53,775.384,404.251,144.92,262.059,288.195,81.9336,359.35,545.682,464.636,461.669,562.128,788.336,315.963,211.739,451.686,121.819,320.643,318.461,190.144,198.667,345.167,867.614,1416.82,438.621,2455.59,413.778,467.06,279.141,698.917,417.265,299.478,152.14,192.784,842.049,364.08,187.912,237.222,359.578,461.46,518.663,258.349,299.971,162.671,339.949,145.443,265.599,181.228,468.266,120.776,117.117,277.061,244.765,839.783,157.81,195.157,458.759,368.935,455.127,372.994
1315.27,730.206,846.868,297.332,459.006,554.916,693.362,694.009,579.424,472.019,817.373,402.384,717.977,266.222,78.9479,481.205,443.681,95.6402,363.722,633.563,570.825,624.928,663.474,921.127,393.067,240.864,421.26,134.531,299.245,303.648,232.718,228.914,477.65,1199.72,1404.88,450.376,2114,394.428,392.915,194.258,505.187,273.09,236.625,121.958,160.028,795.717,348.478,245.228,252.692,379.166,525.797,636.374,272.431,289.815,265.935,417.751,166.578,307.367,194.086,346.037,114.019,147.832,250.112,195.999,805.823,122.427,169.841,416.195,246.979,433.365,370.128
1340.15,718.769,1063.67,428.653,419.261,475.402,463.065,918.917,635.325,338.894,940.827,366.722,897.938,262.406,65.3875,794.644,306.542,105.051,449.19,615.418,581.238,577.293,887.376,983.746,443.016,363.141,530.654,189.155,462.741,273.218,203.513,162.046,338.841,812.963,789.688,283.81,1710.25,340.914,413.226,248.174,601.765,377.708,270.042,194.458,237.549,954.524,398.444,195.966,200.153,361.185,494.047,500.572,226.438,260.319,158.155,288.728,127.431,258.41,143.912,358.275,119.08,150.5,352.268,240.276,890.361,121.603,120.178,349.222,305.804,160.551,361.733
1174.94,669.396,988.962,485.964,402.085,468.736,379.174,806.063,777.102,454.767,704.175,451.838,657.248,265.767,120.994,529.996,193.775,111.732,349.571,830.347,643.978,664.561,875.95,1234.37,427.726,375.445,614.745,250.909,637.635,414.263,279.252,221.495,437.215,1084.53,1089.69,359.539,1927.67,403.427,474.075,223.533,569.237,307.763,218.04,117.607,147.665,757.561,290.965,182.505,241.031,359.567,639.499,612.394,284.188,387.765,295.547,346.345,143.5,306.264,144.411,342.304,113.444,112.422,287.179,241.942,747.331,141.643,148.625,575.197,398.367,845.253,390.545
1100.07,855.498,694.066,421.973,593.151,762.741,528.299,1135.88,725.931,592.502,1099.58,368.37,1100.54,269.869,73.6208,849.496,90.0546,121.571,354.012,731.391,604.311,615.181,771.03,1047.33,459.379,276.542,513.75,199.962,382.09,338.386,198.35,201.532,361.238,829.153,937.67,295.753,1643.75,359.252,455.653,216.549,621.154,390.868,269.511,136.333,208.795,1018.58,395.028,245.079,289.277,446.803,696.298,713.438,305.31,294.204,193.852,228.502,97.7882,212.303,128.804,302.378,105.866,115.12,313.325,215.976,917.729,128.276,120.975,367.691,532.776,345.054,376.488
1401.01,683.88,860.962,415.823,436.917,551.823,443.892,803.819,515.672,379.401,634.549,399.459,674.871,316.965,74.2576,604.983,113.971,163.535,425.523,667.575,478.715,491.253,710.786,849.617,435.559,298.212,404.77,160.659,445.575,312.643,232.865,218.003,347.218,731.2,828.488,274.2,1293.46,237.729,274.088,145.692,465.546,266.312,222.832,125.874,183.278,881.992,399.623,231.577,204.343,420.604,580.59,484.233,174.961,230.062,184.112,263.538,118.296,274.601,176.836,428.906,115.091,102.68,234.644,192.044,694.03,94.1081,122.554,330.844,311.434,343.191,333.39
